     x  	    sin(x*x)  	   sin'an(x)  	   sin''an(x)  	  'sk(x)  	  ''sk(x)
    1.13	    0.96	    0.65	   -4.31	    0.63	   -4.31
    1.14	    0.96	    0.61	   -4.47	    0.59	   -4.47
    1.15	    0.97	    0.57	   -4.64	    0.54	   -4.64
    1.16	    0.97	    0.52	   -4.80	    0.49	   -4.80
    1.17	    0.98	    0.47	   -4.96	    0.44	   -4.96
    1.18	    0.98	    0.42	   -5.13	    0.39	   -5.13
    1.19	    0.99	    0.37	   -5.29	    0.34	   -5.29
    1.20	    0.99	    0.31	   -5.45	    0.29	   -5.45
    1.21	    0.99	    0.26	   -5.61	    0.23	   -5.61
    1.22	    1.00	    0.20	   -5.77	    0.17	   -5.77
    1.23	    1.00	    0.14	   -5.93	    0.11	   -5.93
    1.24	    1.00	    0.08	   -6.08	    0.05	   -6.08
    1.25	    1.00	    0.02	   -6.23	   -0.01	   -6.23
    1.26	    1.00	   -0.04	   -6.38	   -0.07	   -6.38
    1.27	    1.00	   -0.11	   -6.53	   -0.14	   -6.53
    1.28	    1.00	   -0.17	   -6.67	   -0.21	   -6.67
    1.29	    1.00	   -0.24	   -6.81	   -0.27	   -6.81
    1.30	    0.99	   -0.31	   -6.95	   -0.34	   -6.95
    1.31	    0.99	   -0.38	   -7.08	   -0.41	   -7.08
    1.32	    0.99	   -0.45	   -7.21	   -0.49	   -7.21
    1.33	    0.98	   -0.52	   -7.33	   -0.56	   -7.33
    1.34	    0.97	   -0.60	   -7.45	   -0.63	   -7.45
    1.35	    0.97	   -0.67	   -7.56	   -0.71	   -7.56
    1.36	    0.96	   -0.75	   -7.66	   -0.79	   -7.66
    1.37	    0.95	   -0.83	   -7.76	   -0.86	   -7.76
    1.38	    0.94	   -0.90	   -7.85	   -0.94	   -7.85
    1.39	    0.94	   -0.98	   -7.94	   -1.02	   -7.94
    1.40	    0.93	   -1.06	   -8.01	   -1.10	   -8.01
    1.41	    0.91	   -1.14	   -8.08	   -1.18	   -8.08
    1.42	    0.90	   -1.22	   -8.14	   -1.26	   -8.14
    1.43	    0.89	   -1.31	   -8.19	   -1.35	   -8.19
    1.44	    0.88	   -1.39	   -8.23	   -1.43	   -8.23
    1.45	    0.86	   -1.47	   -8.26	   -1.51	   -8.26
    1.46	    0.85	   -1.55	   -8.28	   -1.59	   -8.28
    1.47	    0.83	   -1.64	   -8.29	   -1.68	   -8.29
    1.48	    0.81	   -1.72	   -8.29	   -1.76	   -8.29
    1.49	    0.80	   -1.80	   -8.28	   -1.84	   -8.28
    1.50	    0.78	   -1.88	   -8.26	   -1.93	   -8.26
    1.51	    0.76	   -1.97	   -8.22	   -2.01	   -8.22
    1.52	    0.74	   -2.05	   -8.18	   -2.09	   -8.17
    1.53	    0.72	   -2.13	   -8.11	   -2.17	   -8.11
    1.54	    0.70	   -2.21	   -8.04	   -2.25	   -8.04
    1.55	    0.67	   -2.29	   -7.95	   -2.33	   -7.95
    1.56	    0.65	   -2.37	   -7.85	   -2.41	   -7.85
    1.57	    0.63	   -2.45	   -7.73	   -2.49	   -7.73
    1.58	    0.60	   -2.52	   -7.60	   -2.56	   -7.60
    1.59	    0.58	   -2.60	   -7.46	   -2.64	   -7.46
    1.60	    0.55	   -2.67	   -7.30	   -2.71	   -7.29
    1.61	    0.52	   -2.75	   -7.12	   -2.78	   -7.12
    1.62	    0.49	   -2.82	   -6.93	   -2.85	   -6.93
    1.63	    0.47	   -2.88	   -6.72	   -2.92	   -6.72
    1.64	    0.44	   -2.95	   -6.50	   -2.98	   -6.50
    1.65	    0.41	   -3.01	   -6.26	   -3.05	   -6.26
    1.66	    0.38	   -3.08	   -6.00	   -3.11	   -6.00
    1.67	    0.35	   -3.13	   -5.73	   -3.16	   -5.73
    1.68	    0.31	   -3.19	   -5.44	   -3.22	   -5.44
    1.69	    0.28	   -3.24	   -5.14	   -3.27	   -5.14
    1.70	    0.25	   -3.29	   -4.81	   -3.32	   -4.81
    1.71	    0.22	   -3.34	   -4.48	   -3.36	   -4.48
    1.72	    0.18	   -3.38	   -4.12	   -3.40	   -4.12
    1.73	    0.15	   -3.42	   -3.75	   -3.44	   -3.75
    1.74	    0.11	   -3.46	   -3.36	   -3.47	   -3.36
    1.75	    0.08	   -3.49	   -2.96	   -3.50	   -2.96
    1.76	    0.04	   -3.52	   -2.54	   -3.53	   -2.54
    1.77	    0.01	   -3.54	   -2.11	   -3.55	   -2.11
    1.78	   -0.03	   -3.56	   -1.66	   -3.57	   -1.66
    1.79	   -0.06	   -3.57	   -1.20	   -3.58	   -1.19
    1.80	   -0.10	   -3.58	   -0.72	   -3.59	   -0.72
    1.81	   -0.13	   -3.59	   -0.22	   -3.59	   -0.22
    1.82	   -0.17	   -3.59	    0.28	   -3.58	    0.28
    1.83	   -0.21	   -3.58	    0.80	   -3.58	    0.80
    1.84	   -0.24	   -3.57	    1.33	   -3.56	    1.33
    1.85	   -0.28	   -3.55	    1.87	   -3.54	    1.88
    1.86	   -0.31	   -3.53	    2.43	   -3.52	    2.43
    1.87	   -0.35	   -3.51	    2.99	   -3.49	    2.99
    1.88	   -0.38	   -3.47	    3.56	   -3.45	    3.56
    1.89	   -0.42	   -3.44	    4.15	   -3.41	    4.15
    1.90	   -0.45	   -3.39	    4.73	   -3.37	    4.73
    1.91	   -0.49	   -3.34	    5.33	   -3.31	    5.33
    1.92	   -0.52	   -3.28	    5.93	   -3.25	    5.93
    1.93	   -0.55	   -3.22	    6.54	   -3.19	    6.54
    1.94	   -0.58	   -3.15	    7.15	   -3.12	    7.15
    1.95	   -0.61	   -3.08	    7.76	   -3.04	    7.76
    1.96	   -0.64	   -3.00	    8.37	   -2.96	    8.37
    1.97	   -0.67	   -2.91	    8.98	   -2.87	    8.98
    1.98	   -0.70	   -2.82	    9.59	   -2.77	    9.59
    1.99	   -0.73	   -2.72	   10.20	   -2.67	   10.20
    2.00	   -0.76	   -2.61	   10.80	   -2.56	   10.80
    2.01	   -0.78	   -2.50	   11.40	   -2.45	   11.40
    2.02	   -0.81	   -2.39	   11.99	   -2.33	   11.99
    2.03	   -0.83	   -2.26	   12.57	   -2.20	   12.57
    2.04	   -0.85	   -2.14	   13.14	   -2.07	   13.14
    2.05	   -0.87	   -2.00	   13.70	   -1.93	   13.70
    2.06	   -0.89	   -1.86	   14.24	   -1.79	   14.23
    2.07	   -0.91	   -1.72	   14.77	   -1.64	   14.77
    2.08	   -0.93	   -1.57	   15.28	   -1.49	   15.28
    2.09	   -0.94	   -1.41	   15.77	   -1.33	   15.77
    2.10	   -0.95	   -1.25	   16.24	   -1.17	   16.24
    2.11	   -0.97	   -1.09	   16.69	   -1.00	   16.69
    2.12	   -0.98	   -0.92	   17.12	   -0.83	   17.12
    2.13	   -0.98	   -0.74	   17.52	   -0.66	   17.52
    2.14	   -0.99	   -0.57	   17.89	   -0.48	   17.89
    2.15	   -1.00	   -0.39	   18.24	   -0.29	   18.23
    2.16	   -1.00	   -0.20	   18.55	   -0.11	   18.55
    2.17	   -1.00	   -0.02	   18.83	    0.08	   18.83
    2.18	   -1.00	    0.17	   19.07	    0.27	   19.07
    2.19	   -1.00	    0.37	   19.28	    0.46	   19.28
    2.20	   -0.99	    0.56	   19.46	    0.66	   19.45
    2.21	   -0.99	    0.76	   19.59	    0.85	   19.59
    2.22	   -0.98	    0.95	   19.68	    1.05	   19.68
    2.23	   -0.97	    1.15	   19.74	    1.25	   19.73
    2.24	   -0.95	    1.35	   19.74	    1.44	   19.74
    2.25	   -0.94	    1.54	   19.71	    1.64	   19.70
    2.26	   -0.92	    1.74	   19.63	    1.84	   19.62
    2.27	   -0.90	    1.94	   19.50	    2.03	   19.50
    2.28	   -0.88	    2.13	   19.32	    2.23	   19.31
    2.29	   -0.86	    2.32	   19.09	    2.42	   19.09
    2.30	   -0.84	    2.51	   18.82	    2.61	   18.81
    2.31	   -0.81	    2.70	   18.49	    2.79	   18.49
    2.32	   -0.78	    2.88	   18.12	    2.97	   18.11
    2.33	   -0.75	    3.06	   17.69	    3.15	   17.69
    2.34	   -0.72	    3.23	   17.21	    3.32	   17.21
    2.35	   -0.69	    3.40	   16.68	    3.49	   16.67
    2.36	   -0.65	    3.57	   16.09	    3.65	   16.09
    2.37	   -0.62	    3.73	   15.46	    3.80	   15.46
    2.38	   -0.58	    3.88	   14.77	    3.95	   14.77
    2.39	   -0.54	    4.02	   14.03	    4.09	   14.03
    2.40	   -0.50	    4.16	   13.24	    4.22	   13.24
    2.41	   -0.46	    4.29	   12.41	    4.35	   12.40
    2.42	   -0.41	    4.41	   11.52	    4.46	   11.52
    2.43	   -0.37	    4.52	   10.58	    4.57	   10.58
    2.44	   -0.32	    4.62	    9.60	    4.66	    9.60
    2.45	   -0.28	    4.71	    8.57	    4.75	    8.57
    2.46	   -0.23	    4.79	    7.50	    4.82	    7.50
    2.47	   -0.18	    4.86	    6.39	    4.89	    6.39
    2.48	   -0.13	    4.92	    5.24	    4.94	    5.23
    2.49	   -0.08	    4.96	    4.05	    4.98	    4.05
    2.50	   -0.03	    5.00	    2.83	    5.01	    2.82
    2.51	    0.02	    5.02	    1.57	    5.03	    1.57
    2.52	    0.07	    5.03	    0.29	    5.03	    0.29
    2.53	    0.12	    5.02	   -1.02	    5.02	   -1.02
    2.54	    0.17	    5.01	   -2.35	    4.99	   -2.35
    2.55	    0.22	    4.98	   -3.71	    4.96	   -3.71
    2.56	    0.27	    4.93	   -5.08	    4.91	   -5.07
    2.57	    0.32	    4.88	   -6.46	    4.84	   -6.46
    2.58	    0.36	    4.80	   -7.85	    4.76	   -7.84
    2.59	    0.41	    4.72	   -9.24	    4.67	   -9.24
    2.60	    0.46	    4.62	  -10.63	    4.56	  -10.63
    2.61	    0.50	    4.51	  -12.02	    4.44	  -12.02
    2.62	    0.55	    4.38	  -13.40	    4.31	  -13.40
    2.63	    0.59	    4.24	  -14.77	    4.16	  -14.77
    2.64	    0.63	    4.08	  -16.12	    4.00	  -16.12
    2.65	    0.67	    3.92	  -17.45	    3.83	  -17.44
    2.66	    0.71	    3.74	  -18.75	    3.64	  -18.75
    2.67	    0.75	    3.54	  -20.02	    3.44	  -20.01
    2.68	    0.78	    3.34	  -21.25	    3.23	  -21.24
    2.69	    0.82	    3.12	  -22.43	    3.00	  -22.43
    2.70	    0.85	    2.89	  -23.57	    2.77	  -23.57
    2.71	    0.87	    2.65	  -24.66	    2.52	  -24.66
    2.72	    0.90	    2.39	  -25.70	    2.26	  -25.69
    2.73	    0.92	    2.13	  -26.66	    2.00	  -26.66
    2.74	    0.94	    1.86	  -27.57	    1.72	  -27.56
    2.75	    0.96	    1.58	  -28.40	    1.44	  -28.39
    2.76	    0.97	    1.29	  -29.15	    1.15	  -29.15
    2.77	    0.98	    1.00	  -29.83	    0.85	  -29.82
    2.78	    0.99	    0.70	  -30.42	    0.54	  -30.41
    2.79	    1.00	    0.39	  -30.92	    0.23	  -30.91
    2.80	    1.00	    0.08	  -31.33	   -0.08	  -31.32
    2.81	    1.00	   -0.24	  -31.64	   -0.40	  -31.63
    2.82	    1.00	   -0.55	  -31.85	   -0.71	  -31.84
    2.83	    0.99	   -0.87	  -31.96	   -1.03	  -31.95
    2.84	    0.98	   -1.19	  -31.96	   -1.35	  -31.95
    2.85	    0.96	   -1.51	  -31.86	   -1.67	  -31.85
    2.86	    0.95	   -1.83	  -31.64	   -1.99	  -31.63
    2.87	    0.93	   -2.14	  -31.31	   -2.30	  -31.30
    2.88	    0.90	   -2.46	  -30.86	   -2.61	  -30.86
    2.89	    0.88	   -2.76	  -30.30	   -2.91	  -30.29
    2.90	    0.85	   -3.06	  -29.63	   -3.21	  -29.62
    2.91	    0.82	   -3.35	  -28.84	   -3.50	  -28.83
    2.92	    0.78	   -3.64	  -27.93	   -3.78	  -27.92
    2.93	    0.74	   -3.91	  -26.90	   -4.04	  -26.89
    2.94	    0.70	   -4.18	  -25.76	   -4.30	  -25.76
    2.95	    0.66	   -4.43	  -24.51	   -4.55	  -24.51
    2.96	    0.62	   -4.67	  -23.15	   -4.78	  -23.14
    2.97	    0.57	   -4.89	  -21.68	   -5.00	  -21.68
    2.98	    0.52	   -5.10	  -20.11	   -5.20	  -20.08
    2.99	    0.47	   -5.29	  -18.43	   -5.38	  -18.43
    3.00	    0.41	   -5.47	  -16.66	   -5.55	  -16.65
    3.01	    0.36	   -5.62	  -14.79	   -5.69	  -14.79
    3.02	    0.30	   -5.76	  -12.84	   -5.82	  -12.84
    3.03	    0.24	   -5.88	  -10.81	   -5.93	  -10.81
    3.04	    0.18	   -5.98	   -8.70	   -6.02	   -8.69
    3.05	    0.12	   -6.05	   -6.52	   -6.08	   -6.52
    3.06	    0.06	   -6.11	   -4.29	   -6.13	   -4.28
    3.07	   -0.00	   -6.14	   -2.00	   -6.15	   -1.99
    3.08	   -0.06	   -6.15	    0.34	   -6.14	    0.34
    3.09	   -0.12	   -6.13	    2.71	   -6.12	    2.71
    3.10	   -0.18	   -6.09	    5.11	   -6.06	    5.11
    3.11	   -0.24	   -6.03	    7.53	   -5.99	    7.54
    3.12	   -0.30	   -5.94	    9.96	   -5.89	    9.96
    3.13	   -0.36	   -5.83	   12.38	   -5.77	   12.39
    3.14	   -0.42	   -5.70	   14.80	   -5.62	   14.79
    3.15	   -0.48	   -5.54	   17.19	   -5.45	   17.19
    3.16	   -0.53	   -5.35	   19.55	   -5.25	   19.55
    3.17	   -0.58	   -5.14	   21.87	   -5.03	   21.85
    3.18	   -0.63	   -4.91	   24.13	   -4.79	   24.13
    3.19	   -0.68	   -4.66	   26.32	   -4.53	   26.31
    3.20	   -0.73	   -4.39	   28.44	   -4.24	   28.43
    3.21	   -0.77	   -4.09	   30.47	   -3.94	   30.47
    3.22	   -0.81	   -3.78	   32.41	   -3.61	   32.40
    3.23	   -0.85	   -3.45	   34.23	   -3.27	   34.22
    3.24	   -0.88	   -3.10	   35.94	   -2.91	   35.93
    3.25	   -0.91	   -2.73	   37.51	   -2.54	   37.50
    3.26	   -0.93	   -2.35	   38.94	   -2.15	   38.93
    3.27	   -0.95	   -1.95	   40.23	   -1.75	   40.22
    3.28	   -0.97	   -1.54	   41.36	   -1.33	   41.35
    3.29	   -0.99	   -1.12	   42.32	   -0.91	   42.30
    3.30	   -0.99	   -0.70	   43.11	   -0.48	   43.09
    3.31	   -1.00	   -0.26	   43.71	   -0.04	   43.70
    3.32	   -1.00	    0.18	   44.13	    0.40	   44.11
    3.33	   -1.00	    0.62	   44.35	    0.84	   44.33
    3.34	   -0.99	    1.06	   44.37	    1.29	   44.36
    3.35	   -0.97	    1.51	   44.19	    1.73	   44.17
    3.36	   -0.96	    1.95	   43.80	    2.17	   43.78
    3.37	   -0.94	    2.38	   43.20	    2.60	   43.18
    3.38	   -0.91	    2.81	   42.39	    3.02	   42.38
    3.39	   -0.88	    3.23	   41.37	    3.43	   41.35
    3.40	   -0.84	    3.64	   40.14	    3.84	   40.12
    3.41	   -0.81	    4.03	   38.70	    4.22	   38.68
    3.42	   -0.76	    4.41	   37.05	    4.59	   37.04
    3.43	   -0.72	    4.77	   35.20	    4.94	   35.18
    3.44	   -0.67	    5.11	   33.15	    5.28	   33.13
    3.45	   -0.62	    5.43	   30.91	    5.59	   30.91
    3.46	   -0.56	    5.73	   28.49	    5.87	   28.47
    3.47	   -0.50	    6.00	   25.89	    6.13	   25.88
    3.48	   -0.44	    6.25	   23.13	    6.36	   23.12
    3.49	   -0.38	    6.47	   20.21	    6.56	   20.19
    3.50	   -0.31	    6.65	   17.15	    6.73	   17.14
    3.51	   -0.24	    6.81	   13.95	    6.87	   13.95
    3.52	   -0.18	    6.93	   10.65	    6.98	   10.63
    3.53	   -0.11	    7.02	    7.24	    7.05	    7.23
    3.54	   -0.03	    7.08	    3.74	    7.09	    3.74
    3.55	    0.04	    7.10	    0.18	    7.09	    0.18
    3.56	    0.11	    7.08	   -3.44	    7.06	   -3.45
    3.57	    0.18	    7.03	   -7.08	    6.99	   -7.08
    3.58	    0.25	    6.94	  -10.75	    6.88	  -10.74
    3.59	    0.32	    6.81	  -14.40	    6.73	  -14.40
    3.60	    0.38	    6.65	  -18.03	    6.55	  -18.04
    3.61	    0.45	    6.45	  -21.62	    6.34	  -21.61
    3.62	    0.51	    6.22	  -25.14	    6.09	  -25.14
    3.63	    0.57	    5.95	  -28.58	    5.80	  -28.56
    3.64	    0.63	    5.65	  -31.91	    5.48	  -31.90
    3.65	    0.69	    5.31	  -35.11	    5.13	  -35.09
    3.66	    0.74	    4.94	  -38.16	    4.75	  -38.15
    3.67	    0.78	    4.55	  -41.05	    4.34	  -41.03
    3.68	    0.83	    4.12	  -43.75	    3.90	  -43.73
    3.69	    0.87	    3.67	  -46.24	    3.44	  -46.22
    3.70	    0.90	    3.20	  -48.51	    2.95	  -48.49
    3.71	    0.93	    2.70	  -50.54	    2.45	  -50.52
    3.72	    0.96	    2.19	  -52.31	    1.93	  -52.29
    3.73	    0.97	    1.66	  -53.81	    1.39	  -53.79
    3.74	    0.99	    1.11	  -55.03	    0.84	  -55.00
    3.75	    1.00	    0.56	  -55.94	    0.28	  -55.92
    3.76	    1.00	   -0.00	  -56.55	   -0.29	  -56.52
    3.77	    1.00	   -0.57	  -56.84	   -0.85	  -56.81
    3.78	    0.99	   -1.14	  -56.80	   -1.42	  -56.77
    3.79	    0.97	   -1.71	  -56.43	   -1.99	  -56.40
    3.80	    0.95	   -2.27	  -55.73	   -2.54	  -55.70
    3.81	    0.93	   -2.82	  -54.69	   -3.09	  -54.65
    3.82	    0.90	   -3.36	  -53.30	   -3.62	  -53.28
    3.83	    0.86	   -3.88	  -51.59	   -4.14	  -51.56
    3.84	    0.82	   -4.39	  -49.54	   -4.63	  -49.51
    3.85	    0.77	   -4.87	  -47.17	   -5.10	  -47.14
    3.86	    0.72	   -5.33	  -44.48	   -5.55	  -44.46
    3.87	    0.67	   -5.76	  -41.49	   -5.96	  -41.46
    3.88	    0.61	   -6.16	  -38.20	   -6.35	  -38.19
    3.89	    0.54	   -6.53	  -34.64	   -6.69	  -34.60
    3.90	    0.48	   -6.85	  -30.82	   -7.00	  -30.81
    3.91	    0.41	   -7.14	  -26.76	   -7.27	  -26.73
    3.92	    0.33	   -7.39	  -22.47	   -7.49	  -22.47
    3.93	    0.26	   -7.59	  -18.00	   -7.67	  -17.97
    3.94	    0.18	   -7.75	  -13.35	   -7.81	  -13.35
    3.95	    0.11	   -7.86	   -8.56	   -7.89	   -8.54
    3.96	    0.03	   -7.92	   -3.65	   -7.93	   -3.65
    3.97	   -0.05	   -7.93	    1.34	   -7.91	    1.34
    3.98	   -0.13	   -7.89	    6.38	   -7.85	    6.39
    3.99	   -0.21	   -7.80	   11.45	   -7.74	   11.45
    4.00	   -0.29	   -7.66	   16.51	   -7.57	   16.49
    4.01	   -0.36	   -7.47	   21.52	   -7.36	   21.48
    4.02	   -0.44	   -7.23	   26.46	   -7.09	   26.47
    4.03	   -0.51	   -6.94	   31.28	   -6.78	   31.27
    4.04	   -0.58	   -6.61	   35.96	   -6.42	   35.94
    4.05	   -0.64	   -6.22	   40.45	   -6.01	   40.45
    4.06	   -0.70	   -5.80	   44.74	   -5.57	   44.70
    4.07	   -0.76	   -5.33	   48.77	   -5.08	   48.76
    4.08	   -0.81	   -4.82	   52.53	   -4.55	   52.49
    4.09	   -0.85	   -4.28	   55.97	   -4.00	   55.96
    4.10	   -0.89	   -3.70	   59.08	   -3.40	   59.05
    4.11	   -0.93	   -3.10	   61.83	   -2.79	   61.80
    4.12	   -0.95	   -2.47	   64.18	   -2.15	   64.15
    4.13	   -0.98	   -1.82	   66.12	   -1.48	   66.08
    4.14	   -0.99	   -1.15	   67.62	   -0.81	   67.59
    4.15	   -1.00	   -0.47	   68.67	   -0.12	   68.63
    4.16	   -1.00	    0.22	   69.25	    0.57	   69.21
    4.17	   -0.99	    0.92	   69.35	    1.26	   69.32
    4.18	   -0.98	    1.61	   68.97	    1.95	   68.93
    4.19	   -0.96	    2.29	   68.09	    2.63	   68.05
    4.20	   -0.94	    2.97	   66.71	    3.30	   66.67
    4.21	   -0.90	    3.63	   64.84	    3.95	   64.81
    4.22	   -0.86	    4.26	   62.48	    4.57	   62.44
    4.23	   -0.82	    4.88	   59.65	    5.17	   59.62
    4.24	   -0.77	    5.46	   56.34	    5.73	   56.29
    4.25	   -0.71	    6.00	   52.58	    6.26	   52.55
    4.26	   -0.65	    6.51	   48.40	    6.74	   48.35
    4.27	   -0.58	    6.97	   43.81	    7.18	   43.80
    4.28	   -0.51	    7.38	   38.84	    7.57	   38.81
    4.29	   -0.43	    7.74	   33.52	    7.90	   33.48
    4.30	   -0.35	    8.05	   27.89	    8.18	   27.87
    4.31	   -0.27	    8.30	   21.99	    8.40	   21.97
